Titles,Genre,imdb,Tv-Ratings,runtime,Director,year
Marvel Rising: Battle of the Bands,"Comedy, Animation, Action & Adventure, Kids & Family",5.3,N/A,22min,Chris Rutkowski,2019
Diving with Dolphins,Documentary,7.0,G,1h 19min,Keith Scholey,2020
"Marvel: 75 Years, From Pulp to Pop!","Documentary, History",7.0,PG,41min,Zak Knutson,2014
Smash and Grab,"Animation, Science-Fiction",N/A,PG,7min,Brian Larsen,2019
Out,"Animation, Comedy, Drama, Horror",N/A,PG,9min,Zac Goold,2020
Disney Princess Remixed: An Ultimate Princess Celebration,"Music & Musical, Documentary, Fantasy",4.9,N/A,22min,Napoleon Dumo,2021
The Real Black Panther,Documentary,N/A,N/A,44min,John Cullum,2020
Embrace the Panda: Making Turning Red,Documentary,N/A,G,48min,Erica Milsom,2022
Forky Asks a Question: What Is Cheese?,Comedy,N/A,N/A,3min,Bob Peterson,2020
Atlantis Rising,"Mystery & Thriller, Documentary",6.4,N/A,1h 33min,Simcha Jacobovici,2017
High School Musical: The Musical: The Holiday Special,"Music & Musical, Documentary, Drama, Comedy",5.7,N/A,45min,Tim Federle,2020
Hiccups,Comedy,N/A,N/A,3min,Jeremy Lasky,2013
Forky Asks a Question: What Is Art?,Animation,N/A,N/A,4min,Bob Peterson,2019
Toni Braxton: Unbreak My Heart,"Drama, Music & Musical",6.1,PG,1h 25min,Vondie Curtis-Hall,2016
D. Wade: Life Unexpected,"Documentary, Sport",7.2,PG-13,1h 36min,Bob Metelus,2020
Into the Okavango,Documentary,7.6,PG,1h 34min,Neil Gelinas,2018
Forky Asks A Question: What Is A Pet?,"Animation, Comedy",N/A,G,4min,Bob Peterson,2019
Into the Grand Canyon,Documentary,7.2,PG,1h 24min,Peter McBride,2019
Spinning,Animation,N/A,N/A,2min,Jeremy Lasky,2013
Let's Be Tigers,Drama,N/A,PG,15min,Stefanie Abel Horowitz,2021
Drain The Ocean: WWII,"Documentary, History",6.9,PG,45min,N/A,2016
Pompeii: Secrets of the Dead,"Documentary, History",6.6,PG,53min,N/A,2019
MARS: Inside SpaceX,Documentary,7.3,PG,46min,Julia Reagan,2018
House of Darkness,"Horror, Mystery & Thriller",4.3,N/A,1h 26min,Patrick DeLuca,2016
Miracle Landing on the Hudson,"Documentary, Drama",6.4,N/A,1h 30min,George Simon,2014
Bad Boys,Documentary,N/A,N/A,1h 42min,Zak Levitt,2014
Paris to Pittsburgh,Documentary,6.4,N/A,1h 17min,Michael Bonfiglio,2018
The Most Magical Story on Earth: 50 Years of Walt Disney World,"Documentary, Music & Musical",7.4,PG,1h 24min,Dave Hoffman,2021
A Celebration of the Music from Coco,"Music & Musical, Documentary",7.0,N/A,47min,Ron de Moraes,2020
Jaws vs. Boats,Documentary,N/A,PG,44min,Kevin Bachar,2022
The Last of the Chupacabras,Fantasy,N/A,N/A,14min,Jessica Mendez Siqueiros,2021
Bear Witness,Documentary,6.9,G,1h 23min,Alastair Fothergill,2022
Jane Goodall: The Hope,"Documentary, Action & Adventure",7.9,N/A,1h 28min,Kim Woodard,2020
Forky Asks a Question: What Is Love?,Animation,N/A,N/A,4min,Bob Peterson,2019
Mega Hammerhead,Documentary,6.5,N/A,1h 0min,Brandon Hill,2016
The Real Right Stuff,"History, Documentary",7.2,PG,1h 30min,Tom Jennings,2020
Forky Asks A Question: What Is Money?,"Animation, Comedy",N/A,N/A,3min,Bob Peterson,2019
Feliz NaviDAD,Romance,N/A,N/A,1h 20min,Melissa Joan Hart,2020
High School Musical: The Musical: The Series: The Special,"Documentary, Music & Musical, Drama, Comedy",7.1,N/A,23min,Clayton Cogswell,2019
Decorating Disney: Holiday Magic,"Documentary, Music & Musical, Reality TV",6.8,PG,58min,N/A,2017
A Spark Story,"Documentary, Animation",6.5,N/A,1h 27min,Leanne Dare,2021
The Flood,Documentary,7.6,PG,1h 28min,N/A,2018
Nature Boy,Documentary,N/A,N/A,1h 17min,Rory Karpf,2017
Fauci,"History, Documentary",6.5,PG-13,1h 44min,Janet Tobias,2021
The Christmas Consultant,Comedy,5.1,N/A,1h 28min,John Bradshaw,2013
LEGO Star Wars: The New Yoda Chronicles - Clash of the Skywalkers,Fantasy,N/A,N/A,22min,Michael Hegner,2014
Mission Pluto,Documentary,N/A,N/A,43min,Nic Young,2015
Adventure Thru the Walt Disney Archives,Documentary,7.2,PG,1h 0min,John Gleim,2020
Forky Asks a Question: What Is a Leader?,Animation,N/A,N/A,3min,Bob Peterson,2019
The Two Bills,Documentary,N/A,N/A,1h 18min,Ken Rodgers,2018
Mission to the Sun,Documentary,6.7,PG,44min,Daniel M. Smith,2018
The Santa Con,"Drama, Comedy, Kids & Family, Romance",6.0,N/A,1h 26min,Melissa Joan Hart,2014
The New Air Force One: Flying Fortress,Documentary,5.2,G,50min,Scott Bateman,2021
Saving Giraffes: The Long Journey Home,Documentary,N/A,N/A,42min,N/A,2022
The Lost Tomb of Alexander the Great,"Documentary, History",6.4,PG,44min,Duncan Singh,2019
Forky Asks a Question: What Is a Computer?,Comedy,N/A,N/A,3min,Bob Peterson,2019
Hubble's Cosmic Journey,Documentary,8.1,N/A,44min,Christopher Riley,2015
I Hate Christian Laettner,Documentary,N/A,N/A,1h 30min,Rory Karpf,2015
Drain the Bermuda Triangle,Documentary,6.4,N/A,50min,Jobim Sampson,2014
Bugged,Animation,N/A,N/A,2min,Jeremy Lasky,2013
Smoky Mountain Park Rangers,Documentary,6.3,PG,42min,Justin Weinrich,2021
Lost Tombs of the Pyramids,Documentary,6.1,PG,44min,N/A,2020
Lost Temple of The Inca,"Mystery & Thriller, Documentary",6.7,PG,42min,Jim Aikman,2020
This Magic Moment,Documentary,N/A,N/A,1h 41min,Erin Leyden,2016
Notre Dame: Race Against the Inferno,"Documentary, Drama",7.0,N/A,44min,Fabrice Gardel,2019
Disney's Summer Magic Quest,,5.5,G,42min,Art Spigel,2022
The Undefeated Presents: Hamilton In-Depth,,N/A,N/A,33min,N/A,2020
Al Davis vs. The NFL,Documentary,N/A,N/A,1h 30min,Ken Rodgers,2021
Drain the Titanic,Documentary,6.4,N/A,46min,Jobim Sampson,2016
Being the Queen,Documentary,6.5,PG-13,45min,Tom Jennings,2020
LEGO Star Wars: The New Yoda Chronicles - Escape from the Jedi Temple,"Science-Fiction, Animation, Kids & Family",N/A,G,22min,Michael Hegner,2014
Once Upon a Main Street,"Drama, Comedy, Romance",6.3,N/A,1h 28min,Polly Draper,2020
Shark vs. Whale,Documentary,5.5,N/A,45min,N/A,2020
Born Wild: The Next Generation,Documentary,7.9,G,1h 0min,N/A,2020
Arendelle Castle Yule Log,"Drama, Animation",7.3,G,3h 0min,N/A,2019
The Incredible Dr. Pol: A 200th Polapalooza,,N/A,PG,1h 28min,Patrick Garney,2022
Growing Fangs,Drama,N/A,N/A,19min,Ann Marie Pace,2021
The Dominican Dream,"Documentary, Sport",7.7,N/A,1h 17min,Jonathan Hock,2019
American Eid,Drama,N/A,G,21min,Aqsa Altaf,2021
Sea of Hope: America's Underwater Treasures,Documentary,7.7,N/A,1h 0min,Robert Nixon,2017
The Making of Loki,Documentary,8.5,N/A,1h 4min,N/A,2021
Trojan War,Documentary,N/A,N/A,1h 18min,Aaron Rahsaan Thomas,2015
Growing Up Wild,Documentary,7.1,G,1h 17min,Keith Scholey,2016
PRIDE: To Be Seen - A Soul of a Nation Presentation,Documentary,6.2,N/A,41min,Tine,2022
Built for Mars: The Perseverance Rover,Documentary,6.9,PG-13,1h 28min,Mark Davis,2021
Flooded Tombs of the Nile,"Documentary, History",6.3,PG,44min,Katie Bauer Murdock,2021
Game of Sharks,Documentary,5.5,PG,44min,Anna Derryberry,2022
The Curious Case of Dolphin Bay,"Kids & Family, Drama",N/A,G,1h 23min,Christine Luby,2022
"The Good, The Bad, The Hungry","Documentary, Sport",6.8,N/A,1h 17min,Nicole Lucas Haimes,2019
The Lost City Of Machu Picchu,"Documentary, History",6.9,PG-13,44min,N/A,2019
Soul of a Nation Presents: Screen Queens Rising,Documentary,N/A,N/A,40min,N/A,2022
World's Biggest Bull Shark?,Documentary,6.1,PG-13,44min,David S. Falcone,2021
Expedition Mars,Documentary,7.4,N/A,1h 28min,Mark Davis,2016
Women of Impact: Changing the World,Documentary,N/A,N/A,44min,Lisa Feit,2020
LEGO Star Wars: The New Yoda Chronicles - Raid on Coruscant,Science-Fiction,N/A,N/A,22min,N/A,2014
Deion's Double Play,Documentary,N/A,N/A,1h 0min,Ken Rodgers,2019
Drain The Sunken Pirate City,"Documentary, History",6.3,N/A,47min,Sophie Elwin-Harris,2017
The Wonderful Autumn of Mickey Mouse,Animation,N/A,G,25min,Karl Hadrika,2022
Hawaiian: The Legend of Eddie Aikau,Documentary,N/A,N/A,1h 19min,Sam George,2013
Killer Shark vs. Killer Whale,Documentary,6.5,PG-13,44min,N/A,2021
Giants of the Deep Blue,Documentary,N/A,PG,44min,Ken Corben,2017
ASSEMBLED: The Making of What If...?,Documentary,N/A,N/A,40min,Brad Baruh,2021
World's Biggest Hammerhead?,,5.2,PG,44min,N/A,2022
LEGO Star Wars: The New Yoda Chronicles - Race For The Holocrons,Comedy,N/A,N/A,21min,N/A,2014
Drain Alcatraz,Documentary,6.0,N/A,45min,Wayne Abbott,2017
The Way of the Cheetah,Documentary,N/A,N/A,44min,Beverly Joubert,2022
Year of the Scab,Documentary,7.2,N/A,1h 18min,John Dorsey,2017
Sharks of Lost Island,Documentary,5.6,PG,45min,Neil Gelinas,2019
Shark Gangs,Documentary,6.7,PG-13,44min,Jacob Cobi Benattia,2021
Rogue Shark,Documentary,6.8,PG-13,44min,Mark Woodward,2021
Of Miracles and Men,Documentary,N/A,G,1h 43min,Jonathan Hock,2015
Disney Holiday Magic Quest,,6.7,G,45min,N/A,2020
Myth: A Frozen Tale,"Animation, Fantasy",N/A,G,8min,Jeff Gipson,2019
World's Biggest Tiger Shark,Documentary,N/A,PG-13,44min,Mike Reid,2020
Assembled: The Making of The Falcon and the Winter Soldier,Documentary,N/A,PG-13,1h 2min,Brad Baruh,2021
Shortsmas with Big City Greens,"Animation, Comedy",7.0,N/A,23min,Sabrina Alberghetti,2022
The Disney Holiday Singalong,"Music & Musical, Comedy, Kids & Family",5.9,N/A,45min,Hamish Hamilton,2020
Shark Queens,Documentary,6.7,PG,45min,Tamira Connolly,2022
Slaying the Badger,Documentary,N/A,N/A,1h 17min,John Dower,2014
Maui Shark Mystery,,N/A,PG,44min,John Cullum,2022
Camo Sharks,Documentary,6.7,PG,45min,Sarah V. Burns,2022
Wild Portugal,Documentary,7.1,PG-13,44min,Christian Baumeister,2020
The Croc That Ate Jaws,Documentary,N/A,PG-13,44min,Mark Woodward,2021
The Queen Family Singalong,Music & Musical,6.1,N/A,41min,Hamish Hamilton,2021
ASSEMBLED: The Making of Black Widow,Documentary,N/A,N/A,56min,Brad Baruh,2021
Brothers in Exile,Documentary,N/A,N/A,1h 18min,Mario Diaz,2014
Virus Hunters,Documentary,6.6,PG,44min,Drew Pulley,2020
50 Shades of Sharks,Documentary,N/A,PG-13,44min,Alexis Barbier-Bouvet,2020
Oil Spill of The Century,Documentary,N/A,PG-13,44min,Josselin Mahot,2018
Worst Weather Ever?,Documentary,5.8,N/A,1h 28min,George Harris,2013
Catholics vs. Convicts,Documentary,N/A,N/A,1h 42min,Patrick Creadon,2016
The Real MVP: The Wanda Durant Story,"Drama, Sport",6.7,PG,1h 25min,Nelson George,2016
"Cinderella: The Reunion, A Special Edition of 20/20",Documentary,7.1,N/A,42min,N/A,2022
Orca Vs. Great White,Documentary,5.5,PG-13,44min,Sigmund Spath Jr.,2021
Expedition China,Documentary,6.6,G,1h 18min,Ben Wallis,2017
The Giant Robber Crab,,N/A,N/A,44min,Braydon Moloney,2019
Phi Slama Jama,Documentary,N/A,N/A,1h 30min,Chip Rives,2016
Epic Holiday Showdown,,4.8,N/A,49min,N/A,2020
The Scariest Story Ever: A Mickey Mouse Halloween Spooktacular,"Comedy, Horror",N/A,PG,22min,Dave Wasson,2017
Elway To Marino,Documentary,N/A,N/A,1h 19min,Ken Rodgers,2013
Dinner Is Served,Drama,N/A,N/A,21min,Hao Zheng,2021
Shark Side of the Moon,,N/A,PG,43min,Sarah V. Burns,2022
Baby Sharks,Documentary,6.3,PG,45min,Adam Geiger,2022
Doc & Darryl,Documentary,N/A,N/A,1h 18min,Michael Bonfiglio,2016
Sharks of the Bermuda Triangle,Documentary,5.6,N/A,43min,N/A,2020
Hippo vs Croc,Documentary,4.9,N/A,50min,Graeme Duane,2014
India's Wild Leopards,Documentary,N/A,N/A,44min,N/A,2020
Texas Storm Squad,Documentary,N/A,PG-13,44min,Natalie Hewit,2020
Jade Eyed Leopard,Documentary,N/A,PG,45min,N/A,2020
Incredible! The Story of Dr. Pol,Documentary,N/A,PG,44min,N/A,2015
Buried Truth of the Maya,"Mystery & Thriller, Documentary",5.5,PG,47min,Bengt Anderson,2020
Shortsgiving with Big City Greens,"Animation, Comedy",N/A,N/A,23min,N/A,2020
From Our Family to Yours,"Animation, Drama",N/A,N/A,3min,Angela Affinita,2020
Counting Jaws,,N/A,PG,44min,Christian Meola,2022
Heroes of the Sky: The Mighty Eighth Air Force,"Documentary, History",N/A,N/A,1h 28min,David Jakubovic,2020
Betty White Goes Wild,Documentary,7.2,PG,44min,James Reed,2013
Patagonia Wings,Documentary,N/A,N/A,45min,N/A,2020
Life and Death in Paradise: Crocs of the Caribbean,"Documentary, Kids & Family",N/A,N/A,44min,Marion Pöllmann,2020
Mack Wrestles,Documentary,N/A,N/A,26min,Erin Sanger,2019
The Simpsons x Bad Bunny: Te Deseo Lo Mejor,"Romance, Animation, Comedy, Music & Musical",N/A,N/A,3min,N/A,2021
What the Shark?,Documentary,N/A,PG-13,44min,N/A,2020
Buried Secrets of Cordoba,"History, Documentary",N/A,N/A,44min,N/A,2019
Genoa Bridge Disaster,Documentary,6.4,N/A,59min,Martin Gorst,2019
United Sharks of America,Documentary,N/A,N/A,41min,N/A,2015
How Dogs Got Their Shapes,Documentary,6.7,N/A,44min,N/A,2016
Tree Climbing Lions,,N/A,PG,44min,Katie Bauer Murdock,2018
Gorongosa: Paradise Reborn,Documentary,7.4,N/A,45min,Lisa Feit,2022
Sky Sharks,Documentary,5.2,PG,44min,Jennie Hammond,2022
Forky Asks A Question: What Is A Friend?,Animation,N/A,N/A,3min,Bob Peterson,2019
Viking Warrior Women,Documentary,5.6,PG,45min,Stuart Strickson,2019
Big Sharks Rule,Documentary,N/A,PG,44min,N/A,2018
Breaking2,"Documentary, Reality TV",7.3,PG,55min,Martin Desmond Roe,2017
Duck the Halls: A Mickey Mouse Christmas Special,"Animation, Comedy",7.2,G,22min,Alonso Ramirez Ramos,2016
Big Cat Games,,N/A,N/A,44min,Jeremy Turner,2015
Secrets of the Bull Shark,Documentary,6.1,N/A,44min,N/A,2020
ZOMBI-Thon with Big City Greens,"Comedy, Animation",N/A,N/A,22min,Sabrina Alberghetti,2022
Man Among Cheetahs,Documentary,6.8,PG,44min,Richard Slater-Jones,2017
"Extra Episode, or Not: Behind the Scenes of All the Same","Documentary, Comedy",N/A,N/A,29min,Suzy Milstein,2022
King Tut In Colour,Documentary,N/A,N/A,44min,Paul Bradshaw,2021
Lost Cities: The Great Flood,Documentary,N/A,PG,45min,Jim Greayer,2021
Shark Attack Investigation: The Paige Winter Story,Documentary,N/A,PG-13,44min,N/A,2020
The Kangaroo King,Documentary,7.3,N/A,50min,Bettina Dalton,2015
Chasing the Equinox,Documentary,6.5,N/A,45min,Kenny Scott,2020
Planet of the Birds,Documentary,N/A,N/A,44min,N/A,2018
Doc McStuffins: The Doc Is In,"Animation, Kids & Family, Fantasy",N/A,N/A,24min,Alicia Minter,2020
Secrets Of Christ's Tomb,"Documentary, History",6.2,N/A,46min,N/A,2017
Bob Ballard: An Explorer's Life,Documentary,6.8,PG,44min,N/A,2021
Generation YouTube,Documentary,N/A,N/A,44min,N/A,2015
Sharks vs. Dolphins: Blood Battle,Documentary,5.1,N/A,43min,Paul Atkins,2020
Sharkcano,Documentary,N/A,N/A,45min,Andy Seestedt,2020
Spring Shorts-Tacular with the Ghost and Molly McGee,"Animation, Comedy, Fantasy",N/A,N/A,24min,Sabrina Alberghetti,2022
Most Wanted Sharks,Documentary,N/A,N/A,44min,N/A,2020
Disney My Music Story: Perfume,"Documentary, Music & Musical",6.6,N/A,1h 11min,N/A,2020
Disney Illuminations Firework Show Disneyland Paris,Music & Musical,N/A,N/A,19min,N/A,2017
Weekend Family Christmas Special,Comedy,N/A,N/A,46min,N/A,2022
World's Biggest Great White Shark,"Reality TV, Documentary",6.4,PG-13,44min,N/A,2019
Shark vs Tuna,Documentary,6.4,PG-13,44min,N/A,2018
Little Giant,Documentary,N/A,PG,44min,N/A,2016
Wild Uganda,Documentary,N/A,PG,45min,Harald Pokieser,2018
Petra: Secrets of the Ancient Builders,Documentary,N/A,G,44min,N/A,2019
It Was Always Me: Behind the Story,Documentary,7.9,N/A,31min,Marco Colantoni,2022
Sharks That Eat Everything,Documentary,N/A,PG-13,44min,N/A,2022
The Hidden Kingdoms of China,Documentary,6.9,PG,1h 28min,Ben Wallis,2020
Far From Raven's Home,"Animation, Comedy",4.8,G,11min,N/A,2021
Kingdom of the Apes: Battle Lines,Documentary,N/A,PG,44min,N/A,2014
Great Shark Chow Down,Documentary,5.7,PG,44min,Mark Woodward,2019
Ghost of the Mountains,Documentary,7.0,G,1h 18min,Ben Wallis,2017
Riina: le verità nascoste,Documentary,N/A,N/A,45min,Jovica Nonkovic,2018
Dickie V,Documentary,8.9,N/A,1h 20min,Nick Nanton,2022
Black Pharaohs: Empire of Gold,"Documentary, History",N/A,PG,1h 0min,James Barrat,2018
Buried Secrets of Keros,Documentary,6.2,N/A,44min,Nikos Dayandas,2020
Shark vs. Surfer,Documentary,6.1,N/A,44min,Phil Stebbing,2020
Sauver Notre-Dame,"History, Documentary",6.7,N/A,44min,Charlène Gravel,2020
LEGO Start Wars: The New Yoda Chronicles: Duel of the Skywalkers,Fantasy,N/A,N/A,22min,Michael Hegner,2014
Dancing With The Stars: The Pros' Most Memorable Moments,Documentary,N/A,N/A,55min,N/A,2022
Disney Channel Holiday House Party,Comedy,4.6,G,25min,N/A,2020
Cannibal Sharks,Documentary,6.2,PG-13,44min,Mark Woodward,2019
Heroes of The Mediterranean,Documentary,N/A,N/A,44min,Manu San Félix,2019
Disney’s Fairy Tale Weddings: Holiday Magic,"Drama, Documentary",N/A,PG,58min,Simon Lythgoe,2017
The Incredible Dr. Pol Blue Ribbon Kids,Documentary,N/A,PG,44min,N/A,2016
The Incredible Dr. Pol: Jingle Pols,Documentary,N/A,PG,45min,N/A,2013
Puppy for Hanukkah,,N/A,N/A,3min,Alexander Gradet,2020
Man vs. Shark,Documentary,6.2,PG,44min,N/A,2019
Jaguar Beach Battle,Documentary,N/A,N/A,44min,N/A,2018
Okavango: River of Dreams,,N/A,N/A,1h 34min,Dereck Joubert,2019
World's Greatest Dogs,,N/A,N/A,43min,N/A,2015
Heroes of the Long Road Home with Martha Raddatz,,N/A,N/A,46min,Pierre sérisier,2017
Shanghai Disney Resort Grand Opening Gala,Music & Musical,N/A,G,25min,N/A,2016
Egypt's Treasure Guardians,"Documentary, History",6.2,N/A,44min,N/A,2016
My Music Story: Yoshiki,"Music & Musical, Documentary",7.3,N/A,47min,N/A,2020
Moana Sing-Along,,N/A,N/A,1h 47min,N/A,2017
The Last Ice,Documentary,7.4,N/A,1h 23min,N/A,2020
