Netflix,Netflix_imdb,Genre,Runtime,TV_Ratings,Year
Murder by the Coast,6.5,"Documentary, Crime, History, Mystery & Thriller",1h 28min,PG-13,2021
Against the Ice,6.5,"Drama, History",1h 42min,N/A,2022
Hasan Minhaj: The King's Jester,7.7,"Comedy, Documentary",1h 0min,N/A,2022
Britney vs. Spears,6.4,"Documentary, Music & Musical",1h 33min,N/A,2021
Esposa de Aluguel,N/A,"Comedy, Romance",1h 47min,N/A,2022
Hold Your Breath: The Ice Dive,N/A,Documentary,40min,N/A,2022
Doom of Love,4.9,"Drama, Romance",1h 40min,N/A,2022
Viking Wolf,5.2,"Horror, Mystery & Thriller",1h 37min,N/A,2022
Side Effects,7.1,"Mystery & Thriller, Drama, Crime",1h 46min,R,2013
Carnaval,4.0,Comedy,1h 34min,N/A,2021
How I Became a Gangster,6.9,"Crime, Drama, Made in Europe",2h 20min,N/A,2020
David Spade: Nothing Personal,5.8,"Comedy, Documentary",1h 6min,N/A,2022
The Speed Cubers,N/A,Documentary,40min,N/A,2020
Then Barbara Met Alan,6.7,Drama,1h 7min,N/A,2022
Circus of Books,7.1,"History, Documentary",1h 32min,N/A,2020
Carolin Kebekus: The Last Christmas Special,4.8,Comedy,1h 6min,N/A,2021
Love & Gelato,5.1,"Drama, Comedy, Romance",1h 51min,PG-13,2022
Memories of a Murderer: The Nilsen Tapes,6.3,"Documentary, Crime",1h 24min,N/A,2021
Christina P: Mom Genes,6.1,"Comedy, Documentary",1h 2min,N/A,2022
Cici,7.2,Drama,2h 31min,N/A,2022
Father Christmas Is Back,4.5,Comedy,1h 45min,PG-13,2021
Wonder Boy,N/A,"Documentary, Made in Europe",1h 39min,N/A,2019
Kaapa,N/A,"Action & Adventure, Drama",2h 13min,N/A,2022
Charming,5.6,"Fantasy, Animation, Comedy, Kids & Family",1h 30min,N/A,2018
A Secret Love,7.8,"Documentary, Drama",1h 22min,N/A,2020
Prime Time,5.2,"Drama, Mystery & Thriller",1h 33min,R,2021
Welcome to Sudden Death,4.3,Action & Adventure,1h 20min,R,2020
Nobody Sleeps in the Woods Tonight,4.9,"Mystery & Thriller, Horror, Romance, Fantasy, Drama, Made in Europe",1h 42min,N/A,2020
The 101-Year-Old Man Who Skipped Out on the Bill and Disappeared,6.3,"Comedy, Crime, Made in Europe",1h 48min,N/A,2016
Christine,6.9,Drama,2h 3min,R,2016
Eric Andre: Legalize Everything,6.2,Comedy,52min,R,2020
Sr.,7.3,Documentary,1h 29min,R,2022
Backtrace,3.8,"Drama, Mystery & Thriller, Science-Fiction, Action & Adventure, Crime",1h 32min,R,2018
Dancing with the Birds,N/A,Documentary,51min,N/A,2019
Forgive Us Our Trespasses,6.5,"Drama, War & Military",13min,PG-13,2022
Neon Lights,4.5,"Horror, Mystery & Thriller",1h 30min,R,2022
"Monica, O My Darling",7.4,"Comedy, Drama, Mystery & Thriller, Crime",2h 9min,N/A,2022
Debt Collectors,5.8,"Comedy, Crime, Action & Adventure",1h 37min,R,2020
Legends of the Hidden Temple,5.6,"Kids & Family, Action & Adventure",1h 5min,PG,2016
Jurassic World Camp Cretaceous: Hidden Adventure,N/A,"Action & Adventure, Animation",32min,PG,2022
Father Soldier Son,7.3,"War & Military, Documentary",1h 39min,R,2020
Felix Lobrecht: Hype,5.8,Comedy,59min,N/A,2020
"Love, Guaranteed",5.6,"Comedy, Romance",1h 30min,N/A,2020
Get Smart With Money,N/A,Documentary,1h 33min,PG,2022
The Wait,6.4,Drama,2h 2min,N/A,2021
The Boy Who Harnessed the Wind,7.6,"Drama, History",1h 53min,N/A,2019
The Lost Husband,6.1,"Romance, Drama",1h 49min,PG-13,2020
Into the Deep: The Submarine Murder Case,N/A,Crime,1h 27min,N/A,2020
Trolls,6.4,"Comedy, Music & Musical, Kids & Family, Animation, Fantasy, Action & Adventure, Romance",1h 32min,PG,2016
Ali Wong: Don Wong,6.6,Comedy,59min,R,2022
Iliza Shlesinger: Unveiled,6.5,Comedy,1h 18min,N/A,2019
Along for the Ride,6.1,"Drama, Romance",1h 46min,N/A,2022
What We Wanted,5.9,Drama,1h 34min,N/A,2020
Laal Singh Chaddha,5.5,"Drama, Romance, Comedy, War & Military, Kids & Family",2h 37min,PG-13,2022
Critical Thinking,6.5,Drama,1h 57min,N/A,2020
Live Is Life,6.3,"Action & Adventure, Comedy, Drama",1h 50min,N/A,2022
Civil: Ben Crump,5.9,Documentary,1h 41min,PG-13,2022
Who's a Good Boy?,4.6,Comedy,1h 35min,R,2022
Pete Davidson: Alive from New York,6.1,Comedy,49min,N/A,2020
Under the Amalfi Sun,5.3,"Romance, Comedy, Drama",1h 30min,PG-13,2022
Attack of the Hollywood Clichés!,N/A,Documentary,59min,N/A,2021
Gabriel Iglesias: Stadium Fluffy,7.1,"Comedy, Documentary",1h 55min,N/A,2022
All Day and a Night,6.0,Drama,2h 1min,R,2020
The Darkness,4.5,"Horror, Mystery & Thriller",1h 32min,PG-13,2016
Hotel Transylvania 2,6.6,"Comedy, Music & Musical, Kids & Family, Drama, Romance, Fantasy, Action & Adventure, Horror, Animation",1h 29min,PG,2015
The Figo Affair: The Transfer That Changed Football,7.1,"Documentary, Sport",1h 45min,N/A,2022
Animal Crackers,5.8,"Comedy, Kids & Family, Fantasy, Animation",1h 34min,PG,2018
Camp Confidential: America's Secret Nazis,6.3,"Documentary, Animation, History",34min,PG-13,2021
Who Killed Santa? A Murderville Murder Mystery,6.5,"Comedy, Crime",53min,R,2022
Lesson Plan,5.0,"Action & Adventure, Crime, Drama",1h 41min,N/A,2022
Escape the Undertaker,4.2,"Mystery & Thriller, Horror, Comedy",31min,N/A,2021
A Call to Spy,6.6,"Crime, Drama, Mystery & Thriller, War & Military",2h 3min,PG-13,2019
Super Me,5.8,"Drama, Fantasy, Science-Fiction",1h 42min,N/A,2021
Freaks – You're One of Us,5.4,"Drama, Fantasy, Mystery & Thriller, Action & Adventure, Science-Fiction",1h 33min,NC-17,2020
The Christmas Chronicles,7.0,"Comedy, Fantasy, Kids & Family",1h 43min,PG,2018
Lilli,5.7,"Drama, Mystery & Thriller",1h 31min,PG,2018
The Raid 2,7.9,"Mystery & Thriller, Action & Adventure, Crime",2h 30min,R,2014
Jobs,6.0,"Drama, History, Documentary",2h 9min,PG-13,2013
Rise of the Teenage Mutant Ninja Turtles: The Movie,6.0,"Animation, Action & Adventure, Comedy, Drama, Kids & Family, Fantasy, Science-Fiction",1h 22min,N/A,2022
If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,7.9,"Music & Musical, Documentary",1h 34min,N/A,2018
40 Sticks,5.5,Mystery & Thriller,1h 33min,N/A,2020
Fatal Affair,4.6,"Mystery & Thriller, Crime, Drama",1h 29min,N/A,2020
Beyond the Lights,6.8,"Drama, Romance, Music & Musical",1h 56min,PG-13,2014
Beauty,4.1,"Drama, Romance",1h 35min,R,2022
Sarah Cooper: Everything's Fine,5.5,Comedy,49min,N/A,2020
Pete Davidson Presents: The Best Friends,4.8,"Comedy, Documentary",58min,PG-13,2022
JJ+E,5.3,"Drama, Romance",1h 30min,N/A,2021
Grudge,5.5,"Mystery & Thriller, Drama, Crime",1h 44min,N/A,2021
7 Yards: The Chris Norton Story,7.8,Documentary,1h 33min,N/A,2021
Milestone,6.6,Drama,1h 38min,N/A,2021
Shiny_Flakes: The Teenage Drug Lord,7.3,"Documentary, Crime",1h 36min,N/A,2021
Lords of Scam,6.3,"Documentary, Crime",1h 45min,R,2021
Operation Christmas Drop,5.8,"Comedy, Kids & Family, Romance",1h 35min,N/A,2020
My Father's Violin,6.4,Drama,1h 52min,N/A,2022
Thallumaala,7.0,"Drama, Action & Adventure, Comedy",2h 26min,N/A,2022
Guest House,4.4,Comedy,1h 24min,R,2020
Wedding Season,6.3,"Comedy, Romance",1h 38min,N/A,2022
Lost Bullet,6.3,"Mystery & Thriller, Action & Adventure, Crime",1h 33min,N/A,2020
Godspeed,6.5,Drama,1h 59min,N/A,2022
The Claus Family 2,5.5,"Comedy, Fantasy, Kids & Family",1h 38min,N/A,2021
Love Today,8.1,"Romance, Comedy, Drama",2h 34min,N/A,2022
The Best of Netflix Is a Joke: The Festival,N/A,Comedy,54min,R,2022
Count Me In,6.8,"Music & Musical, Documentary",1h 21min,N/A,2021
Neal Brennan: Blocks,7.7,"Comedy, Documentary",1h 2min,N/A,2022
Downfall: The Case Against Boeing,7.4,Documentary,1h 29min,R,2022
Definition Please,5.5,"Drama, Comedy",1h 31min,N/A,2022
Wendell & Wild,6.4,"Comedy, Kids & Family, Fantasy, Horror, Mystery & Thriller, Animation",1h 47min,PG-13,2022
Belleville Cop,5.0,"Comedy, Crime, Made in Europe",1h 50min,N/A,2018
Okja,7.3,"Drama, Action & Adventure, Science-Fiction",2h 2min,PG-13,2017
The Entitled,4.6,"Romance, Comedy, Drama",1h 30min,R,2022
BLACKPINK: Light Up the Sky,7.3,"Documentary, Music & Musical",1h 19min,PG-13,2020
Anthony Jeselnik: Fire in the Maternity Ward,7.2,Comedy,1h 4min,N/A,2019
Spiderhead,5.4,"Mystery & Thriller, Crime, Drama, Science-Fiction, Action & Adventure",1h 45min,R,2022
The Claus Family,5.5,"Comedy, Kids & Family, Fantasy",1h 36min,N/A,2020
The Dreamlife of Georgie Stone,N/A,Documentary,30min,PG,2022
Radhe Shyam,5.3,"Drama, Romance",2h 18min,N/A,2022
Street Flow,6.4,"Drama, Crime",1h 35min,N/A,2019
Hellhole,5.3,"Drama, Made in Europe",1h 38min,N/A,2019
Skater Girl,6.6,"Drama, Kids & Family, Sport",1h 47min,PG,2021
Mousa,6.0,"Science-Fiction, Action & Adventure, Drama",1h 41min,N/A,2021
"Rob Schneider: Asian Momma, Mexican Kids",5.5,Comedy,44min,N/A,2020
Silverton Siege,6.3,"Crime, Drama, Mystery & Thriller, Action & Adventure",1h 40min,PG-13,2022
Showtime 1958,6.3,"Drama, Kids & Family",1h 50min,N/A,2022
Copenhagen,7.0,"Drama, Romance",1h 38min,N/A,2014
"...Watch Out, We're Mad",3.1,"Action & Adventure, Comedy, Western",1h 30min,N/A,2022
Hostage House,3.9,Mystery & Thriller,1h 30min,N/A,2021
Whitney Cummings: Jokes,5.6,Comedy,59min,N/A,2022
Don't Kill Me,4.3,"Horror, Romance, Fantasy",1h 30min,N/A,2021
Scrooge: A Christmas Carol,6.2,"Comedy, Drama, Kids & Family, Fantasy, Animation",1h 36min,N/A,2022
11M: Terror in Madrid,6.9,Documentary,1h 32min,N/A,2022
Today We Fix the World,6.2,"Comedy, Drama",1h 53min,N/A,2022
The Babysitter: Killer Queen,5.8,"Comedy, Horror",1h 41min,R,2020
The Masked Scammer,6.2,"Crime, Documentary",1h 30min,R,2022
Rurouni Kenshin: The Final,7.2,"Drama, History, Action & Adventure",2h 18min,PG-13,2021
Whipped,4.1,"Drama, Comedy, Romance",1h 37min,N/A,2020
The Festival of Troubadours,N/A,Drama,1h 42min,R,2022
The 8th Night,5.3,"Mystery & Thriller, Horror",1h 55min,N/A,2021
The Father Who Moves Mountains,5.5,"Mystery & Thriller, Drama",1h 48min,PG-13,2021
Mirai,7.0,"Animation, Fantasy, Drama, Kids & Family",1h 38min,PG,2018
The Taming of the Shrewd,4.5,"Comedy, Drama, Romance",1h 52min,N/A,2022
Jenny Slate: Stage Fright,5.8,"Reality TV, Comedy",1h 6min,N/A,2019
Jewel,3.7,Drama,1h 20min,R,2022
The Discovery,6.2,"Drama, Romance, Science-Fiction, Mystery & Thriller",1h 42min,N/A,2017
Stuck with You,5.4,"Comedy, Romance",59min,R,2022
Birth Reborn,7.7,"Documentary, Kids & Family, History",1h 31min,N/A,2013
Last Seen Alive,5.6,"Mystery & Thriller, Drama, Action & Adventure",1h 35min,R,2022
Dance of the Forty One,6.8,"Drama, History",1h 39min,N/A,2020
Apollo 10½:  A Space Age Childhood,7.2,"Science-Fiction, Kids & Family, Comedy, Horror, Animation, Drama, History, Action & Adventure, Romance",1h 38min,PG-13,2022
Raangi,N/A,"Action & Adventure, Mystery & Thriller",2h 1min,N/A,2022
Stealing Raden Saleh,7.3,"Action & Adventure, Crime, Drama",2h 34min,N/A,2022
Pihu,6.7,"Mystery & Thriller, Drama, Kids & Family",1h 31min,G,2018
Sleight,5.9,"Science-Fiction, Mystery & Thriller, Crime, Drama, Action & Adventure",1h 29min,R,2017
The Forest of Love,6.3,"Mystery & Thriller, Horror, Crime, Drama",2h 31min,N/A,2019
Ek Villain Returns,4.4,"Action & Adventure, Mystery & Thriller, Crime, Romance",2h 7min,N/A,2022
Dhokha: Round D Corner,6.3,"Crime, Mystery & Thriller, Comedy, Drama",1h 48min,N/A,2022
Bartkowiak,5.1,"Action & Adventure, Mystery & Thriller, Crime, Sport",1h 31min,N/A,2021
El Camino: A Breaking Bad Movie,7.3,"Drama, Mystery & Thriller, Action & Adventure, Crime",2h 2min,R,2019
Crimson Peak,6.5,"Horror, Mystery & Thriller, Fantasy, Drama, Romance",1h 59min,R,2015
Mr. Harrigan's Phone,6.0,"Horror, Drama, Mystery & Thriller",1h 45min,PG-13,2022
A 3 Minute Hug,N/A,Documentary,28min,N/A,2018
Iliza Shlesinger: Hot Forever,6.6,"Comedy, Documentary",1h 8min,R,2022
Cyber Hell: Exposing an Internet Horror,6.5,"Documentary, Crime",1h 45min,N/A,2022
Biggie: I Got a Story to Tell,6.8,"Documentary, Music & Musical",1h 37min,R,2021
Trees of Peace,6.5,Drama,1h 37min,NC-17,2022
Bird Box,6.6,"Mystery & Thriller, Drama, Horror, Science-Fiction",2h 3min,R,2018
Togo,5.3,"Drama, Crime, Mystery & Thriller",1h 35min,N/A,2022
To All the Boys: Always and Forever,6.3,"Comedy, Drama, Romance",1h 55min,PG-13,2021
The Royal Treatment,5.2,"Romance, Comedy, Kids & Family",1h 36min,N/A,2022
Jo Koy: Live from the Los Angeles Forum,7.2,Comedy,1h 14min,N/A,2022
Christmas Full of Grace,4.4,"Comedy, Romance",1h 44min,R,2022
Look Both Ways,6.3,"Drama, Comedy, Romance, Fantasy",1h 50min,PG-13,2022
Good Game: The Beginning,4.5,"Comedy, Drama, Sport",1h 44min,PG-13,2018
20th Century Girl,7.3,"Romance, Drama",1h 59min,N/A,2022
Peter Rabbit 2: The Runaway,6.2,"Comedy, Kids & Family, Action & Adventure, Fantasy, Animation, Crime, Drama",1h 33min,PG,2021
Def Comedy Jam 25,6.6,"Comedy, Documentary",1h 21min,N/A,2017
The Invisible Thread,6.8,"Drama, Comedy, Kids & Family",1h 49min,N/A,2022
Nobody Sleeps in the Woods Tonight 2,3.8,"Horror, Mystery & Thriller, Comedy",1h 37min,N/A,2021
Light in the Dark,5.8,"Mystery & Thriller, Drama",1h 45min,N/A,2020
Audible,5.3,Documentary,39min,N/A,2021
Single Slipper Size - 7,8.4,"Mystery & Thriller, Drama",2h 0min,N/A,2019
Hillbilly Elegy,6.7,Drama,1h 56min,R,2020
Mosul,N/A,Drama,1h 42min,N/A,2019
Summerland,7.0,"Drama, Romance, War & Military",1h 39min,PG,2020
Garbage,3.8,"Drama, Mystery & Thriller",1h 45min,N/A,2018
The Teacher,7.2,"Drama, Mystery & Thriller",2h 1min,N/A,2022
"Ram Dass, Going Home",N/A,Documentary,31min,PG-13,2017
Ivy + Bean,6.0,"Kids & Family, Action & Adventure, Comedy",58min,PG,2022
The Happytime Murders,5.4,"Comedy, Crime, Fantasy, Mystery & Thriller, Action & Adventure, Made in Europe",1h 31min,R,2018
Eeb Allay Ooo!,7.2,"Drama, Comedy",1h 37min,N/A,2020
Neal Brennan: 3 Mics,7.9,"Comedy, Documentary",1h 5min,N/A,2017
W. Kamau Bell: Private School Negro,6.5,Comedy,1h 5min,N/A,2018
A Family,7.0,"Crime, Drama",2h 16min,R,2021
Disconnect: The Wedding Planner,4.1,"Romance, Comedy",1h 47min,N/A,2022
Offering to the Storm,6.2,"Crime, Mystery & Thriller, Made in Europe",2h 19min,N/A,2020
Marlon Wayans: Woke-ish,6.5,"Comedy, Documentary",1h 8min,N/A,2018
Ready to Mingle,5.9,"Comedy, Romance",1h 37min,N/A,2019
Tiffany Haddish: Black Mitzvah,6.3,Comedy,55min,N/A,2019
Simon Amstell: Set Free,6.5,Comedy,51min,N/A,2019
Birth of the Dragon,5.6,"Drama, Action & Adventure",1h 43min,PG-13,2017
Ben & Jody,5.3,"Action & Adventure, Fantasy, Mystery & Thriller, Drama",1h 54min,N/A,2022
A Christmas Prince: The Royal Baby,5.4,"Romance, Kids & Family",1h 24min,N/A,2019
Coded Bias,6.7,Documentary,1h 26min,N/A,2020
All Together Now,6.5,Drama,1h 33min,PG,2020
Lovefucked,N/A,Drama,1h 45min,N/A,2018
Madame Claude,5.4,"Drama, Crime, Romance",1h 52min,N/A,2021
Game Changer,4.3,"Comedy, Crime, Drama, Romance, Mystery & Thriller",1h 42min,N/A,2021
The Trip 6,3.2,Comedy,1h 37min,N/A,2021
George Lopez: We'll Do It for Half,5.7,Comedy,51min,N/A,2020
Pelé,7.0,"Documentary, Sport",1h 48min,PG-13,2021
Home2Home,7.8,"Documentary, Action & Adventure, Made in Europe",1h 50min,N/A,2020
Just Say Yes,4.5,"Romance, Comedy",1h 37min,N/A,2021
Tig Notaro: Happy To Be Here,6.6,Comedy,58min,N/A,2018
GIMS: On the Record,6.9,"Music & Musical, Documentary",1h 36min,N/A,2020
Barbra: The Music ... The Mem'ries ... The Magic!,7.5,"Music & Musical, Documentary",1h 50min,N/A,2017
Jo Koy: Live from Seattle,7.3,Comedy,1h 3min,N/A,2017
ReMastered: Devil at the Crossroads,7.0,"Music & Musical, Documentary",48min,N/A,2019
The Falls,7.0,Drama,2h 9min,N/A,2021
Dangerous Liaisons,4.0,"Romance, Drama",1h 49min,N/A,2022
Jem and the Holograms,4.1,"Music & Musical, Kids & Family, Fantasy, Drama, Romance, Science-Fiction",1h 58min,PG,2015
Lead Me Home,7.1,Documentary,40min,N/A,2021
ReMastered: The Two Killings of Sam Cooke,7.2,"Documentary, Music & Musical",1h 14min,N/A,2019
Horse Girl,N/A,Drama,1h 44min,R,2020
Red Notice,6.3,"Comedy, Mystery & Thriller, Action & Adventure, Crime",1h 57min,PG-13,2021
The Unforgivable,7.1,"Drama, Crime",1h 52min,R,2021
The Bridge Curse,N/A,"Horror, Mystery & Thriller",1h 27min,N/A,2020
The Takedown,5.7,"Action & Adventure, Comedy, Crime, Drama",1h 59min,N/A,2022
Valley of the Dead,6.5,"Comedy, Mystery & Thriller, War & Military, Action & Adventure, Fantasy, Horror",1h 41min,R,2022
